Date,Open,High,Low,Close,Adj Close,Volume
2014-06-09,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-10,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-11,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-12,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-13,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-16,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-17,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-18,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-19,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-20,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-23,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-24,1063.000000,1063.000000,1063.000000,1063.000000,1038.946411,0
2014-06-25,1114.800049,1114.800049,1114.800049,1114.800049,1089.574463,1258
2014-06-26,1114.800049,1114.800049,1114.800049,1114.800049,1089.574463,0
2014-06-27,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,766
2014-06-30,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,0
2014-07-01,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,0
2014-07-02,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,0
2014-07-03,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,0
2014-07-04,1131.800049,1131.800049,1131.800049,1131.800049,1106.189453,0
2014-07-07,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,1686
2014-07-08,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-09,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-10,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-11,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-14,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-15,1134.739990,1134.739990,1134.739990,1134.739990,1109.062988,0
2014-07-16,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,1345
2014-07-17,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-18,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-21,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-22,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-23,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-24,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-25,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-28,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-29,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-30,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-07-31,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-08-01,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-08-04,1128.000000,1128.000000,1128.000000,1128.000000,1102.475464,0
2014-08-05,1100.000000,1100.000000,1100.000000,1100.000000,1075.109375,20
2014-08-06,1100.000000,1100.000000,1100.000000,1100.000000,1075.109375,0
2014-08-07,1100.000000,1100.000000,1100.000000,1100.000000,1075.109375,0
2014-08-08,1100.000000,1100.000000,1100.000000,1100.000000,1075.109375,0
