Date,Open,High,Low,Close,Adj Close,Volume
2015-07-08,1310.000000,1310.000000,1310.000000,1310.000000,1299.304199,7
2015-07-09,1288.300049,1288.300049,1288.300049,1288.300049,1277.781494,160
2015-07-10,1288.300049,1288.300049,1288.300049,1288.300049,1277.781494,0
2015-07-13,1288.300049,1288.300049,1288.300049,1288.300049,1277.781494,0
2015-07-14,1297.910034,1297.910034,1297.910034,1297.910034,1287.313110,1602
2015-07-15,1316.439941,1316.439941,1316.439941,1316.439941,1305.691650,545
2015-07-16,1316.439941,1316.439941,1316.439941,1316.439941,1305.691650,0
2015-07-17,1311.290039,1311.290039,1311.290039,1311.290039,1300.583374,13000
2015-07-20,1307.680054,1307.680054,1307.680054,1307.680054,1297.003418,6390
2015-07-21,1313.500000,1313.500000,1305.500000,1305.500000,1294.840698,75
2015-07-22,1324.060059,1324.060059,1324.060059,1324.060059,1313.249756,5000
2015-07-23,1325.000000,1325.000000,1314.229980,1314.229980,1303.499878,2350
2015-07-24,1314.229980,1314.229980,1314.229980,1314.229980,1303.499878,50
2015-07-27,1314.229980,1314.229980,1314.229980,1314.229980,1303.499878,0
2015-07-28,1322.000000,1347.000000,1322.000000,1347.000000,1336.002197,280
2015-07-29,1347.000000,1347.000000,1347.000000,1347.000000,1336.002197,0
2015-07-30,1347.000000,1347.000000,1347.000000,1347.000000,1336.002197,0
2015-07-31,1340.000000,1340.000000,1273.000000,1281.000000,1270.541016,1651
2015-08-03,1285.000000,1285.000000,1285.000000,1285.000000,1274.508301,5
2015-08-04,1281.000000,1281.000000,1251.260010,1270.000000,1259.630981,7421
2015-08-05,1267.300049,1270.670044,1267.300049,1270.670044,1260.295532,1566
2015-08-06,1270.670044,1270.670044,1270.670044,1270.670044,1260.295532,0
2015-08-07,1250.000000,1251.000000,1250.000000,1251.000000,1240.786133,124
2015-08-10,1251.000000,1251.000000,1251.000000,1251.000000,1240.786133,0
2015-08-11,1249.000000,1249.000000,1248.119995,1248.119995,1238.652222,95
2015-08-12,1260.199951,1260.199951,1260.199951,1260.199951,1250.640869,545
2015-08-13,1260.199951,1260.199951,1260.199951,1260.199951,1250.640869,0
2015-08-14,1285.099976,1285.099976,1285.099976,1285.099976,1275.351685,580
2015-08-17,1292.050049,1293.430054,1292.050049,1293.430054,1283.618774,10069
2015-08-18,1283.550049,1283.550049,1276.000000,1276.000000,1266.320801,10377
2015-08-19,1235.000000,1257.000000,1235.000000,1257.000000,1247.464722,160
2015-08-20,1275.000000,1275.000000,1270.000000,1270.000000,1260.366333,60
2015-08-21,1270.000000,1270.000000,1270.000000,1270.000000,1260.366333,0
2015-08-24,1196.770020,1207.000000,1183.099976,1183.099976,1174.125488,3760
2015-08-25,1220.000000,1220.000000,1220.000000,1220.000000,1210.745850,35
2015-08-26,1220.099976,1220.400024,1220.099976,1220.400024,1211.142578,100
2015-08-27,1251.800049,1251.800049,1246.000000,1246.000000,1236.548462,401
2015-08-28,1268.099976,1268.099976,1268.099976,1268.099976,1258.480713,610
2015-08-31,1245.000000,1254.000000,1245.000000,1254.000000,1244.487793,148
2015-09-01,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,17
2015-09-02,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,0
2015-09-03,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,0
2015-09-04,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,0
2015-09-07,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,0
2015-09-08,1254.000000,1254.000000,1254.000000,1254.000000,1244.487793,0
2015-09-09,1233.000000,1233.300049,1233.000000,1233.300049,1223.944580,2000
2015-09-10,1233.300049,1233.300049,1233.300049,1233.300049,1223.944580,0
2015-09-11,1233.300049,1233.300049,1233.300049,1233.300049,1223.944580,0
2015-09-14,1233.300049,1233.300049,1223.300049,1233.300049,1223.944580,27
2015-09-15,1233.300049,1233.300049,1233.300049,1233.300049,1223.944580,0
2015-09-17,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,303
2015-09-18,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-21,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-22,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-23,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-24,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,60
2015-09-25,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-28,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-29,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-09-30,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-10-01,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-10-02,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-10-05,1235.000000,1235.000000,1235.000000,1235.000000,1225.631836,0
2015-10-06,1303.300049,1303.300049,1300.000000,1300.000000,1290.138794,1263
2015-10-07,1305.500000,1305.500000,1305.000000,1305.000000,1295.100708,600
